system,seed,cpu_mode,cpu_affinity_core,selected_checkpoint_source,selected_episode,selected_success_rate,selected_override_rate,selected_safety_violation_rate,final_checkpoint_safe,train_seconds,training_peak_rss_mb,eval_success_rate,eval_override_rate,eval_safety_violation_rate,test_success_rate,test_override_rate,test_safety_violation_rate,test_mean_episode_steps,test_n_steps,policy_us_mean,policy_us_p99,shield_us_mean,shield_us_p99,total_us_mean,total_us_p99
cruise,54,aggressive,,safe_eval,1500,1.0,0.02206531332744925,0.0,True,121.34985375404358,91.5703125,1.0,0.02256317689530686,0.0,1.0,0.02346041055718475,0.0,42.625,8525,54.72230357771261,164.30420000000044,16.8340191202346,130.84936000000005,81.39469958944282,220.72260000000003
cruise,55,aggressive,,safe_eval,700,1.0,0.022507314877335136,0.0,True,127.39888787269592,92.92578125,1.0,0.023369946249123627,0.0,1.0,0.023239600278875203,0.0,43.03,8606,49.85525110388102,76.92245000000005,14.158235649546828,32.277950000000054,72.78929339995354,171.39200000000005
cruise,56,aggressive,,safe_eval,300,1.0,0.021934634788330774,0.0,True,127.51456475257874,91.375,1.0,0.024752475247524754,0.0,1.0,0.02338907730090048,0.0,42.755,8551,49.05460554321132,77.2115,13.98895287100924,31.9655,71.74652882703776,181.233
cruise,57,aggressive,,safe_eval,1600,1.0,0.021537798836958864,0.0,True,132.48386359214783,92.1171875,1.0,0.02363507445048452,0.0,1.0,0.02311604253351826,0.0,43.26,8652,44.44795885344429,73.599,13.007161465557099,29.825309999999973,64.96639586222838,103.4658
cruise,58,aggressive,,safe_eval,1000,1.0,0.022172949002217297,0.0,True,134.27105617523193,91.078125,1.0,0.021253985122210415,0.0,1.0,0.02207505518763797,0.0,45.3,9060,28.695161589403973,48.65669,8.627419977924944,17.883409999999998,41.78237130242825,70.64859999999999
cruise,59,aggressive,,safe_eval,200,1.0,0.021829294913774284,0.0,True,133.89876627922058,91.29296875,1.0,0.022967386311437757,0.0,1.0,0.022846698652044778,0.0,43.77,8754,40.04382510852182,73.31309999999998,11.68188508110578,21.933299999999942,58.395062257253834,102.4144999999999
cruise,60,aggressive,,safe_eval,700,1.0,0.02081165452653486,0.0,True,133.4048912525177,92.4453125,1.0,0.02422480620155039,0.0,1.0,0.0241196333815726,0.0,41.46,8292,40.75177809937289,72.78881,11.673839845634348,23.34740000000004,59.22252424023154,101.7184
cruise,61,aggressive,,safe_eval,1000,1.0,0.022396416573348264,0.0,True,134.0347616672516,92.23046875,1.0,0.023849272597185785,0.0,1.0,0.024685262898049863,0.0,40.51,8102,39.24880313502839,71.32481,11.581673537398173,23.771589999999925,57.28060355467786,99.7387
cruise,62,aggressive,,safe_eval,1300,1.0,0.021510002151000216,0.0,True,128.8809678554535,92.94140625,1.0,0.022573363431151242,0.0,1.0,0.024024024024024024,0.0,41.625,8325,38.98615087087087,68.9004,11.686164324324324,24.908600000000146,57.11320264264264,97.32956000000006
cruise,63,aggressive,,safe_eval,1200,1.0,0.021528525296017224,0.0,True,134.2405993938446,92.1796875,1.0,0.023413720440177945,0.0,1.0,0.023646252069047056,0.0,42.29,8458,35.33987112792623,70.11170000000003,10.515663395601798,19.666170000000005,51.60226826672973,99.1523
cruise,64,aggressive,,safe_eval,1100,1.0,0.02152389151958674,0.0,True,133.35355949401855,92.12109375,1.0,0.02310536044362292,0.0,1.0,0.023250406882120437,0.0,43.01,8602,40.082957568007444,71.7858,11.705125319693094,24.57229999999992,58.40473959544292,99.92859999999999
cruise,65,aggressive,,safe_eval,600,1.0,0.02204099625303064,0.0,True,126.19257473945618,92.640625,1.0,0.02269117313365101,0.0,1.0,0.023487962419260128,0.0,42.575,8515,54.50032554315913,96.3604200000018,15.69287903699354,103.93560000000001,80.18487093364651,203.35552000000052
cruise,66,aggressive,,safe_eval,400,1.0,0.02239140170174653,0.0,True,132.4393994808197,92.5078125,1.0,0.022007042253521125,0.0,1.0,0.02253267237494367,0.0,44.38,8876,28.244684317260027,44.686749999999996,8.81934734114466,18.038999999999998,41.51502489860298,65.2665
cruise,67,aggressive,,safe_eval,1400,1.0,0.021362956633198035,0.0,True,126.25549530982971,91.859375,1.0,0.023551577955723033,0.0,1.0,0.02359882005899705,0.0,42.375,8475,58.69022171091446,150.4296600000002,17.312148908554573,131.29540000000003,86.77496000000001,230.41560000000004
cruise,68,aggressive,,safe_eval,1200,1.0,0.02218770800976259,0.0,True,126.97626495361328,92.8515625,1.0,0.02446183953033268,0.0,1.0,0.02255299954894001,0.0,44.34,8868,51.52508299503834,78.42102999999999,14.833640956247182,34.6316,75.40805536761388,192.15582999999995
cruise,69,aggressive,,safe_eval,600,1.0,0.021691973969631236,0.0,True,129.27775311470032,91.515625,1.0,0.021110407430863416,0.0,1.0,0.023108030040439053,0.0,43.275,8655,36.29550421721548,62.659859999999924,10.980009936452918,21.352999999999955,53.17228249566725,89.32419999999989
cruise,70,aggressive,,safe_eval,100,1.0,0.02182453077258839,0.0,True,128.00870966911316,91.71875,1.0,0.02357934449422306,0.0,1.0,0.02407028523288001,0.0,41.545,8309,45.401394271272125,75.86952000000001,13.152339270670359,31.009,66.32229149115416,112.53072
cruise,71,aggressive,,safe_eval,900,1.0,0.020794343938448742,0.0,True,126.38625645637512,92.19140625,1.0,0.024125452352231604,0.0,1.0,0.023427433524657374,0.0,42.685,8537,53.55846667447582,80.36995999999995,15.427991448986765,103.34483999999998,78.80879700128851,200.75183999999982
mixing,42,aggressive,,safe_eval,100,1.0,0.168130869433505,0.0,True,137.4081268310547,97.12890625,1.0,0.1732330827067669,0.0,1.0,0.18576163712350482,0.0,34.695,6939,45.54206571552096,75.92461999999999,17.29136748811068,66.0312,70.73568525724168,138.68901999999997
mixing,43,aggressive,,safe_eval,100,1.0,0.11804076665652571,0.0,True,129.20400738716125,95.6328125,1.0,0.11544139356362562,0.0,1.0,0.109537887039054,0.0,32.135,6427,63.35872210984907,91.0304,18.13646351330325,68.75499999999994,92.9851026917691,159.25779999999995
mixing,44,aggressive,,safe_eval,100,1.0,0.1843186847929181,0.0,True,133.19369435310364,96.20703125,1.0,0.1779935275080906,0.0,1.0,0.16291370711802933,0.0,33.085,6617,56.25207707420281,87.558,19.383471210518362,71.82284000000001,85.80419661478011,162.83440000000002
mixing,45,aggressive,,safe_eval,100,1.0,0.12484394506866417,0.0,True,129.98617267608643,96.3046875,1.0,0.12262729737872853,0.0,1.0,0.12503734687780102,0.0,33.47,6694,58.50965939647446,89.25396999999998,18.413663131162235,70.36846999999993,87.60892500746937,157.21009999999998
