system,seed,cpu_mode,cpu_affinity_core,episodes,total_steps,success_rate,safety_violation_rate,override_rate,final_checkpoint_safe,policy_us_mean,policy_us_p95,policy_us_p99,shield_us_mean,shield_us_p95,shield_us_p99,total_us_mean,total_us_p95,total_us_p99,inference_peak_rss_mb,eval_seconds,test_seconds
cruise,55,aggressive,,200,8606,1.0,0.0,0.023239600278875203,True,58.31103671856844,78.3455,178.95795000000047,17.43679909365559,20.005499999999998,120.31040000000054,85.86516232860794,118.15075,226.0400000000001,76.50390625,1.327916145324707,2.6268811225891113
cruise,56,aggressive,,200,8551,1.0,0.0,0.02338907730090048,True,56.81351643082681,77.592,163.089,16.58534159747398,19.021,90.34649999999999,83.53924780727401,114.221,220.34199999999998,77.54296875,1.2431235313415527,2.5216710567474365
cruise,57,aggressive,,200,8652,1.0,0.0,0.02311604253351826,True,57.205111419325014,77.76094999999997,178.9906599999997,16.56203340268146,19.219949999999965,54.763799999995406,84.01226028663892,114.51149999999998,231.2829,76.8828125,1.3032212257385254,2.6844029426574707
cruise,58,aggressive,,200,9060,1.0,0.0,0.02207505518763797,True,56.89291766004415,77.51799999999999,152.19363999999965,16.689783222958056,19.096,108.88409999999993,83.78779492273729,113.6119999999999,223.27579999999998,76.74609375,1.3634510040283203,2.7176997661590576
cruise,59,aggressive,,200,8754,1.0,0.0,0.022846698652044778,True,56.746344642449166,76.96235,167.1573699999997,16.719770504912038,18.93235000000001,113.22946999999968,83.48823829106693,113.946,225.22196999999957,76.7890625,1.2961571216583252,2.6914517879486084
cruise,60,aggressive,,200,8292,1.0,0.0,0.0241196333815726,True,58.608837916063685,77.9525,184.57880000000006,17.31950964785335,19.7915,116.58339000000007,86.09220103714425,115.759,228.823,76.69921875,1.2326126098632812,2.5731000900268555
cruise,61,aggressive,,200,8102,1.0,0.0,0.024685262898049863,True,59.37897704270551,80.182,182.27367999999976,17.196403357195756,19.495549999999998,109.20969999999986,87.55898025178968,118.3035,235.02908999999985,77.07421875,1.2403547763824463,2.5909252166748047
cruise,62,aggressive,,200,8325,1.0,0.0,0.024024024024024024,True,57.63487039039039,78.04199999999997,170.09656000000004,16.749156516516518,18.965999999999962,115.23296000000028,85.02228864864865,115.63699999999996,230.4223600000001,76.4921875,1.3105535507202148,2.5757100582122803
cruise,63,aggressive,,200,8458,1.0,0.0,0.023646252069047056,True,57.04379782454481,76.7665,168.06560000000007,17.173163277370538,19.628499999999995,111.2035800000009,84.3781806573658,113.61699999999998,226.46796000000012,76.8359375,1.2630457878112793,2.620945453643799
cruise,64,aggressive,,200,8602,1.0,0.0,0.023250406882120437,True,58.520127063473616,79.62095,181.17379,16.952608695652174,19.60449999999999,129.34657999999982,86.28356986747268,119.04244999999999,237.15709999999996,76.9765625,1.2793099880218506,2.714498281478882
cruise,65,aggressive,,200,8515,1.0,0.0,0.023487962419260128,True,59.03077357604228,79.66669999999999,109.49084000000099,16.618761244862007,19.226,37.06566000000031,86.43267809747505,115.532,223.4578000000001,76.4140625,1.3708961009979248,2.702601432800293
cruise,66,aggressive,,200,8876,1.0,0.0,0.02253267237494367,True,58.5458244704822,78.9525,101.28725,16.88284666516449,19.43175,90.28875,86.0424435556557,115.2355,227.0195,76.9765625,1.3835163116455078,2.7982912063598633
cruise,67,aggressive,,200,8475,1.0,0.0,0.02359882005899705,True,56.969320707964606,77.026,101.80706000000013,16.320323303834808,18.856,39.51416000000076,83.42329085545721,111.51969999999996,222.54626000000005,77.41015625,1.2949440479278564,2.6105613708496094
cruise,68,aggressive,,200,8868,1.0,0.0,0.02255299954894001,True,59.32666531348669,80.00399999999999,112.00529999999999,16.767655841226883,19.847649999999998,37.5576,86.74024357239514,115.94349999999996,222.49423,76.49609375,1.2652997970581055,2.7685651779174805
cruise,69,aggressive,,200,8655,1.0,0.0,0.023108030040439053,True,57.94171022530329,77.3363,105.63585999999957,16.26000577700751,19.198999999999995,35.32105999999999,84.44640231080301,111.94899999999993,224.68725999999927,76.7734375,1.4725456237792969,2.6912033557891846
cruise,70,aggressive,,200,8309,1.0,0.0,0.02407028523288001,True,57.80072186785413,77.68299999999999,100.81012000000003,16.554406065711877,19.437,36.93320000000002,84.69318726681911,112.77699999999999,222.56072,76.08203125,1.3060321807861328,2.6005051136016846
cruise,71,aggressive,,200,8537,1.0,0.0,0.023427433524657374,True,58.58100550544688,78.399,110.48247999999948,16.512795127093828,19.558999999999997,40.989639999999824,85.77824188825115,113.848,224.3346399999997,77.296875,1.266448736190796,2.696411609649658
mixing,42,aggressive,,200,6939,1.0,0.0,0.18576163712350482,True,66.4099916414469,82.93099999999998,93.28999999999998,23.18046289090647,67.97199999999998,73.13279999999999,101.86042426862659,152.118,173.28202,79.94921875,2.22544527053833,4.648854494094849
